"","text"
"0","кап строительство работник передвижение территория газотурбинный электростанция оступиться упасть"
"1","поручный приёмный мосток"
"2","бурение сотрудник сторонний организация находиться средство защита орган зрение очко"
"3","бурение зона шланг высокий давление находиться работник"
"4","обход кокс пековый обнаружить перепад линейный затрубный давление солянокислотный ванный"
"5","вср выезд пуо водитель пакерсервис пристегнуть ремень безопасность"
"6","безопасно"
"7","бурение работа поворотный кран рабочий находиться опасный зона"
"8","бурение работник находиться опасный зона прр"
"9","бурение мешок изпод химреагент стоять проход возле мосток"
"10","отсутствовать стрелка манометр"
"11","входной сепаратор уровнемер отсутствовать зазаемление"
"12","бурение работник гти производить работа молоток треснутый ручка"
"13","сломать ограждение эстакада сторона насос"
"14","водитель паровой промысловый установка паровой передвижной установка передвижной п начать движение машина пристегнуть ремень безопасность"
"15","проверка персонал употребление алкоголь"
"16","перегореть лампа станция обезжелезивание"
"17","кап строительство работник находиться открытый воздух средство защита рука"
"18","отрваный заземление шпв"
"19","пропуск жидкость сальниковый уплотнение"
"20","вср нарушить изоляция заземлять кабель автовымотка бригада епрс"
"21","мусор солеотложение машзал"
"22","добыча лежать незадействованный оборудование"
"23","бурильщик выйти устье куртка защита понизить температура"
"24","труба буринструмент лежать мосток затруднять движение"
"25","начало работа ушм осмотр ушм обнаружить поломка стопор поворот ручка"
"26","водитель покидать автомобиль закрыть"
"27","снег путь подход органический вещество"
"28","электрокабель лежать земля"
"29","возле вагон прачка место следование персонал иметься розлив вода покрыть леденой корка"
"30","электромонтёр подрядный организация подъём кустовой площадка держаться поручень"
"31","водитель сторонний организация стоянка автомобиль использовать противооткат"
"32","кокс пековый лестничный марш ростверк покрыть лёд"
"33","подготовка рабочий инструмент обнаружить трещина рожковый ключ"
"34","прочее подъезд переправа р канда обнаружить знак высадить пассажир заснеженный"
"35","безопастный"
"36","безопасно"
"37","добыча территория вжк обнаружить открытый пожарный щит"
"38","работа проводиться нарушение правило безопасность"
"39","въезд база цех добыча нефть и газ промысел в рамка нгда открываться ворота"
"40","лишний предмет рабочий стол"
"41","куст агз позиция пропуск вентиль"
"42","гореть блок реагентный хозяйство назначение изделие закачка реагент ингибить динамический напряжение сдвиг"
"43","бурение подход лестница ведущий роторный стол замести снег"
"44","бурение работник сторонний организация находиться роторный стол защитный очко"
"45","бурение бурение откачивать шахта заметить кабель насос валяться вода"
"46","машинист бригада капитальный ремонт скважина ремонт после обрыв внутрискважинный оборудый войти опасный зона пвр"
"47","бурение розлив масло ремонт автоматический ключ бурильщик"
"48","нарушение изоляция рпв"
"49","сквкуст пропуск вентиль"
"50","бурение топливо синтетический камаз стоять выкидной линия трубопровод по который продукция скважина поступать на г"
"51","бурение движение дорога встречный топливо синтетический пропустить создать опасность"
"52","территория динамический напряжение сдвиг замести снег"
"53","утеплить металлический часть временной трубопровод ктврк"
"54","бурение отсутствовать перильный ограждение лестница спуск приёмный мосток кокс пековый"
"55","бурение расчистить путь перемещение кокс пековый вжк"
"56","бурение механизм ключ умк шпилька отсутствовать контргайка"
"57","бурение стол ротор полный подъём инструмент закрытый устье скважина"
"58","бурение циркуляционный система гидроциклонный очистка буровой раствор приёмный мосток химия наледь снег"
"59","отсутствовать указатель адорога кокс пековый"
"60","бурение сотрудник компания работать паровой промысловый установка паровой передвижной установка передвижной п неаккуратно поднимать пику пара сторона стоять направление пара сотрудник"
"61","бурение лёд приёмный мосток"
"62","добыча повредить защитный оболочка кабель датчик осевой сдвиг нво"
"63","бурение электрокабель лежать земля"
"64","технологический площадка днс водитель дежурный автомобиль использовать ремень безопасность"
"65","персонал зона движение кабель"
